l"ineNumber","startStop","EndStop","operator"
"1","Wzgórza K.","Salwator","ZTP  Kraków"
"10","Pleszów","Łagiewniki","ZTP  Kraków"
"11","Mały Płaszów P+R","Czerwone Maki P+R","ZTP  Kraków"
"13","Nowy Bieżanów P+R","Bronowice","ZTP  Kraków"
"14","Mistrzejowice","Bronowice","ZTP  Kraków"
"17","Dworzec Tow.","Czerwone Maki P+R","ZTP  Kraków"
"18","Krowodrza Górka","Czerwone Maki P+R","ZTP  Kraków"
"19","Łagiewniki","Dworzec Tow.","ZTP  Kraków"
"2","Salwator","Cm. Rakowicki","ZTP  Kraków"
"20","Mały Płaszów P+R","Cichy Kącik","ZTP  Kraków"
"21","Pleszów","Os.Piastów","ZTP  Kraków"
"22","Łagiewniki","Kopiec Wandy","ZTP  Kraków"
"24","Kurdwanów P+R","Bronowice Małe","ZTP  Kraków"
"3","Nowy Bieżanów P+R","Krowodrza Górka","ZTP  Kraków"
"4","Wzgórza K.","Bronowice Małe","ZTP  Kraków"
"49","Tauron Arena Kraków Wieczysta","Nowy Bieżanów P+R","ZTP  Kraków"
"5","Wzgórza K.","Krowodrza Górka","ZTP  Kraków"
"50","Kurdwanów P+R","Krowodrza Górka","ZTP  Kraków"
"52","Os.Piastów","Czerwone Maki P+R","ZTP  Kraków"
"6","Kurdwanów P+R","Cichy Kącik","ZTP  Kraków"
"74","Mistrzejowice","Dworzec Tow.","ZTP  Kraków"
"8","Łagiewniki","Bronowice Małe","ZTP  Kraków"
"9","Nowy Bieżanów P+R","Mistrzejowice","ZTP  Kraków"
"100","Salwator","Kopiec Kościuszki","MPK S.A. w Krakowie"
"101","Os. Podwawelskie","Kopiec Kościuszki","MPK S.A. w Krakowie"
"102","Krowodrza Górka","Bielany","MPK S.A. w Krakowie"
"103","Lesisko","Aleja Przyjaźni","MPK S.A. w Krakowie"
"105","Prądnik Czerwony","Dworzec Główny Zachód","MPK S.A. w Krakowie"
"106","Skotniki Szkoła","Łagiewniki","MPK S.A. w Krakowie"
"107","Bielany","Soboniowice","MPK S.A. w Krakowie"
"109","Aleja Przyjaźni","Cracovia Stadion","MPK S.A. w Krakowie"
"110","Węgrzynowice","Wańkowicza","MPK S.A. w Krakowie"
"111","Os. Podwawelskie","Pleszów","MPK S.A. w Krakowie"
"112","Tyniec Kamieniołom","Rondo Grunwaldzkie","MPK S.A. w Krakowie"
"113","EC Łęg","Czyżyny Dworzec","MPK S.A. w Krakowie"
"114","Os. Podwawelskie","Chełmońskiego Pętla","MPK S.A. w Krakowie"
"116","Kozienicka","Czerwone Maki P+R","MPK S.A. w Krakowie"
"117","Łuczanowice","Kombinat","MPK S.A. w Krakowie"
"120","Tonie","Bronowice Małe","MPK S.A. w Krakowie"
"121","Kliny Poranne","Borek Fałęcki","MPK S.A. w Krakowie"
"122","Zesławice","Aleja Przyjaźni","MPK S.A. w Krakowie"
"123","Mistrzejowice","Mały Płaszów P+R","MPK S.A. w Krakowie"
"124","TAURON Arena Kraków Wieczysta","Os. Podwawelskie","MPK S.A. w Krakowie"
"125","Złocień","Szpital Rydygiera","MPK S.A. w Krakowie"
"127","Podgórze SKA","Bagry","MPK S.A. w Krakowie"
"129","Dworzec Główny Zachód","Czyżyny Dworzec","MPK S.A. w Krakowie"
"130","Dworzec Główny Zachód","Azory","MPK S.A. w Krakowie"
"131","Pleszów","Chałupki","MPK S.A. w Krakowie"
"133","Łagiewniki","Kurdwanów P+R","MPK S.A. w Krakowie"
"134","ZOO","Cracovia Stadion","MPK S.A. w Krakowie"
"135","Łagiewniki","Golkowice Pętla","MPK S.A. w Krakowie"
"136","Pod Fortem","Łagiewniki","MPK S.A. w Krakowie"
"137","Krowodrza Górka","Górka Narodowa Wschód","MPK S.A. w Krakowie"
"138","Kombinat","Azory","MPK S.A. w Krakowie"
"139","Mydlniki Wapiennik P+R","Kombinat","MPK S.A. w Krakowie"
"140","Radzikowskiego Osiedle","Nowy Kleparz","MPK S.A. w Krakowie"
"141","Przylasek Rusiecki","Pleszów","MPK S.A. w Krakowie"
"142","Czyżyny Dworzec","Cmentarz Batowice","MPK S.A. w Krakowie"
"143","Podgórze SKA","Bieżanów","MPK S.A. w Krakowie"
"144","Rżąka","Azory","MPK S.A. w Krakowie"
"148","Walcownia","Kombinat","MPK S.A. w Krakowie"
"149","Szpital Okulistyczny","Lesisko","MPK S.A. w Krakowie"
"152","Plac Centralny im. R.Reagana","Cmentarz Olszanica (nż)","MPK S.A. w Krakowie"
"153","Nowy Bieżanów Południe","Bieżanów Potrzask","MPK S.A. w Krakowie"
"156","Sidzina","Czerwone Maki P+R","MPK S.A. w Krakowie"
"158","Podwierzbie","Podgórze SKA","MPK S.A. w Krakowie"
"159","Os. Piastów","Cichy Kącik","MPK S.A. w Krakowie"
"160","Ruszcza","Aleja Przyjaźni","MPK S.A. w Krakowie"
"162","Podgórki Tynieckie","Os. Podwawelskie","MPK S.A. w Krakowie"
"163","Rżąka","Os. Piastów","MPK S.A. w Krakowie"
"164","Piaski Nowe","Górka Narodowa","MPK S.A. w Krakowie"
"165","Os. Podwawelskie","Borek Fałęcki","MPK S.A. w Krakowie"
"168","Krowodrza Górka","Chełmońskiego Pętla","MPK S.A. w Krakowie"
"171","Wróżenice","Pleszów","MPK S.A. w Krakowie"
"172","Kombinat","Bronowice Małe","MPK S.A. w Krakowie"
"173","Nowy Bieżanów Południe","Azory","MPK S.A. w Krakowie"
"174","Os. Kurdwanów","Kombinat","MPK S.A. w Krakowie"
"175","Nałkowskiej","Borek Fałęcki","MPK S.A. w Krakowie"
"176","Kostrze OSP","Bodzów","MPK S.A. w Krakowie"
"178","Mistrzejowice","Łagiewniki","MPK S.A. w Krakowie"
"179","Os. Kurdwanów","Dworzec Główny Zachód","MPK S.A. w Krakowie"
"181","Pleszów","Kujawy","MPK S.A. w Krakowie"
"182","Os. Na Stoku","Dworzec Główny Wschód","MPK S.A. w Krakowie"
"183","Złocień","Wydział Farmaceutyczny UJ","MPK S.A. w Krakowie"
"184","Starowiślna","Prądnik Czerwony","MPK S.A. w Krakowie"
"189","Czyżyny Dworzec","Cracovia Stadion","MPK S.A. w Krakowie"
"192","Dworzec Główny Wschód","Chełm","MPK S.A. w Krakowie"
"193","Rondo Barei","Na Załęczu","MPK S.A. w Krakowie"
"194","Pod Fortem","Krowodrza Górka","MPK S.A. w Krakowie"
"202","Łososkowice Remiza","Czyżyny Dworzec","MPK S.A. w Krakowie"
"203","Skawina","Czerwone Maki P+R","MPK S.A. w Krakowie"
"204","Wieliczka Miasto","Czerwone Maki P+R","MPK S.A. w Krakowie"
"207","Trojanowice Pętla","Krowodrza Górka","MPK S.A. w Krakowie"
"208","Kraków Airport","Dworzec Główny Wschód","MPK S.A. w Krakowie"
"209","Salwator","Mników Skały","MPK S.A. w Krakowie"
"210","Bronowice Małe","Będkowice Pętla","MPK S.A. w Krakowie"
"211","Kombinat","Chobot Leśniczówka","MPK S.A. w Krakowie"
"212","Czyżyny Dworzec","Czulice Kościół","MPK S.A. w Krakowie"
"213","Krzęcin Pętla","Czerwone Maki P+R","MPK S.A. w Krakowie"
"214","Podstolice Centrum","Borek Fałęcki","MPK S.A. w Krakowie"
"215","Rzeszotary Panciawa Pętla","Borek Fałęcki","MPK S.A. w Krakowie"
"217","Węgrzce Pętla","Krowodrza Górka","MPK S.A. w Krakowie"
"218","Zabierzów Młyn","Bronowice Małe","MPK S.A. w Krakowie"
"219","Os. Podwawelskie","Jeziorzany Pętla","MPK S.A. w Krakowie"
"220","Krowodrza Górka","Giebułtów Morgi","MPK S.A. w Krakowie"
"221","Niepołomice Dworzec","Mały Płaszów P+R","MPK S.A. w Krakowie"
"222","Słomniki Osiedle","Czyżyny Dworzec","MPK S.A. w Krakowie"
"223","Czerwone Maki P+R","Brzeźnica Dworzec","MPK S.A. w Krakowie"
"224","Wieliczka Miasto","Centrum JP II","MPK S.A. w Krakowie"
"225","Świątniki Górne Urząd Miasta i Gminy","Borek Fałęcki","MPK S.A. w Krakowie"
"227","Zielonki Jaskinia Zielonkowska","Krowodrza Górka","MPK S.A. w Krakowie"
"228","Chrosna Pętla","Bronowice Małe","MPK S.A. w Krakowie"
"229","Salwator","Kamień Szkoła","MPK S.A. w Krakowie"
"230","Ujazd Pętla","Bronowice Małe","MPK S.A. w Krakowie"
"232","Goszcza Dworek","Czyżyny Dworzec","MPK S.A. w Krakowie"
"233","Skawina SCK","Skawina Korabniki","MPK S.A. w Krakowie"
"234","Węgrzce Wielkie Pętla","Nowy Bieżanów Południe","MPK S.A. w Krakowie"
"235","Ochodza Dwór","Borek Fałęcki","MPK S.A. w Krakowie"
"235","Bronowice Małe","Ochodza Odwiśle","MPK S.A. w Krakowie"
"238","Dąbrowa Szlachecka Krzemiennik","Młynka Pętla","MPK S.A. w Krakowie"
"239","Wołowice Kapliczka","Salwator","MPK S.A. w Krakowie"
"240","Pękowice Ojcowska","Krowodrza Górka","MPK S.A. w Krakowie"
"242","Krzysztoforzyce Pętla","Kombinat","MPK S.A. w Krakowie"
"243","Skawina","Borek Fałęcki","MPK S.A. w Krakowie"
"244","Wieliczka Miasto","Borek Fałęcki","MPK S.A. w Krakowie"
"245","Buków Pętla","Borek Fałęcki","MPK S.A. w Krakowie"
"247","Krowodrza Górka","Bibice Rynek","MPK S.A. w Krakowie"
"248","Zelków Pętla","Bronowice Małe","MPK S.A. w Krakowie"
"249","Salwator","Czułówek Kapliczka","MPK S.A. w Krakowie"
"250","Zastów Pętla","Prądnik Czerwony","MPK S.A. w Krakowie"
"252","Os. Podwawelskie","Kraków Airport","MPK S.A. w Krakowie"
"253","Wola Radziszowska Pętla","Czerwone Maki P+R","MPK S.A. w Krakowie"
"254","Grabówki Pętla","Borek Fałęcki","MPK S.A. w Krakowie"
"255","Lusina Pętla","Borek Fałęcki","MPK S.A. w Krakowie"
"257","Nowy Kleparz","Narama Remiza","MPK S.A. w Krakowie"
"258","Nielepice Pętla","Bronowice Małe","MPK S.A. w Krakowie"
"259","Salwator","Czernichów Rynek","MPK S.A. w Krakowie"
"260","Prądnik Czerwony","Pielgrzymowice Pętla","MPK S.A. w Krakowie"
"262","Rawałowice Kapliczka","Czyżyny Dworzec","MPK S.A. w Krakowie"
"263","Radziszów PKP","Czerwone Maki P+R","MPK S.A. w Krakowie"
"264","Mały Płaszów P+R","Grabie Kościół","MPK S.A. w Krakowie"
"265","Konary Pętla","Borek Fałęcki","MPK S.A. w Krakowie"
"267","Smardzowice Remiza","Krowodrza Górka","MPK S.A. w Krakowie"
"268","Karniowice Pętla","Bronowice Małe","MPK S.A. w Krakowie"
"269","Salwator","Czułówek Kapliczka","MPK S.A. w Krakowie"
"270","Zastów Pętla","Prądnik Czerwony","MPK S.A. w Krakowie"
"271","Pleszów","Czulice Kościół","MPK S.A. w Krakowie"
"273","Skawina SCK","Grabie Pętla","MPK S.A. w Krakowie"
"274","Trąbki P+R","Podgórze SKA","MPK S.A. w Krakowie"
"275","Włosań Centrum","Borek Fałęcki","MPK S.A. w Krakowie"
"277","Nowy Kleparz","Iwanowice Dworskie Pętla","MPK S.A. w Krakowie"
"278","Krzeszowice Dworzec Autobusowy","Bronowice Małe","MPK S.A. w Krakowie"
"280","Owczary Pętla","Nowy Kleparz","MPK S.A. w Krakowie"
"283","Skawina","Czerwone Maki P+R","MPK S.A. w Krakowie"
"284","Wieliczka Centrum","Nowy Bieżanów Południe","MPK S.A. w Krakowie"
"285","Ochojno Remiza","Borek Fałęcki","MPK S.A. w Krakowie"
"287","Zielonki Marszowiec Pętla","Krowodrza Górka","MPK S.A. w Krakowie"
"293","Kopanka Pętla","Borek Fałęcki","MPK S.A. w Krakowie"
"297","Krowodrza Górka","Boleń Pętla","MPK S.A. w Krakowie"
"301","Podgórze SKA","Niepołomice Dworzec","MPK S.A. w Krakowie"
"304","Wieliczka Miasto","Dworzec Główny Zachód","MPK S.A. w Krakowie"
"307","Os. Podwawelskie","Michałowice P+R","MPK S.A. w Krakowie"
"337","Owczary Pętla","Nowy Kleparz","MPK S.A. w Krakowie"
"413","Rondo Czyżyńskie","Na Załęczu","MPK S.A. w Krakowie"
"422","Zesławice","Aleja Przyjaźni","MPK S.A. w Krakowie"
"424","Ugorek","Os. Podwawelskie","MPK S.A. w Krakowie"
"433","Os. Kurdwanów","Łagiewniki","MPK S.A. w Krakowie"
"475","Nałkowskiej","Borek Fałęcki","MPK S.A. w Krakowie"
"482","Mistrzejowice","Dworzec Główny Wschód","MPK S.A. w Krakowie"
"501","Chełmońskiego Pętla","Bulwarowa (nż)","MPK S.A. w Krakowie"
"502","Cracovia Stadion","Aleja Przyjaźni","MPK S.A. w Krakowie"
"503","Nowy Bieżanów Południe","Górka Narodowa Wschód","MPK S.A. w Krakowie"
"511","Przybyszewskiego","Os. Na Stoku","MPK S.A. w Krakowie"
"537","Witkowice","Dworzec Główny Wschód","MPK S.A. w Krakowie"
"572","Bronowice Małe","Aleja Przyjaźni","MPK S.A. w Krakowie"
"578","Mistrzejowice","Czerwone Maki P+R","MPK S.A. w Krakowie"
"601","Mydlniki Wapiennik P+R","Aleja Przyjaźni","MPK S.A. w Krakowie"
"605","Złocień","Teatr Słowackiego","MPK S.A. w Krakowie"
"608","Pod Fortem","Czyżyny Dworzec","MPK S.A. w Krakowie"
"609","Dworzec Główny Wschód","Bielany","MPK S.A. w Krakowie"
"610","Prądnik Czerwony","Borek Fałęcki","MPK S.A. w Krakowie"
"611","Mistrzejowice","Chełmońskiego Pętla","MPK S.A. w Krakowie"
"612","Tyniec Kamieniołom","Os. Podwawelskie","MPK S.A. w Krakowie"
"637","Krowodrza Górka","Górka Narodowa Wschód","MPK S.A. w Krakowie"
"642","Rondo Kocmyrzowskie im. Ks. Gorzelanego","Aleja Przyjaźni","MPK S.A. w Krakowie"
"662","Plac Centralny im. R.Reagana","Czerwone Maki P+R","MPK S.A. w Krakowie"
"664","Os. Piastów","Bronowice Małe","MPK S.A. w Krakowie"
"669","Nowy Bieżanów P+R","Krowodrza Górka","MPK S.A. w Krakowie"
"708","Łagiewniki","Borek Fałęcki","MPK S.A. w Krakowie"
"735","Kurdwanów P+R","Golkowice Pętla","MPK S.A. w Krakowie"
